,0
854,17.41
855,13.95
856,16.89
857,19.89
858,15.84
859,16.17
860,18.33
861,18.15
862,17.99
863,15.02
864,18.83
865,16.64
866,19.64
867,16.52
868,16.64
869,19.35
870,18.99
871,15.06
872,15.92
873,17.42
874,15.09
875,15.65
876,8.87
877,32.28
878,32.22
879,9.13
880,34.52
881,29.53
882,17.18
883,12.97
884,10.48
885,20.93
886,10.88
887,11.89
888,20.2
889,29.56
890,34.78
891,18.39
892,27.96
893,14.67
894,20.04
895,23.28
896,10.15
897,34.66
898,10.76
899,20.15
900,21.04
901,20.62
902,26.31
903,28.43
904,9.01
905,24.31
906,13.27
907,10.02
908,27.85
909,26.38
910,18.76
911,33.77
912,14.83
913,0.23
914,16.73
915,11.63
916,21.95
917,25.88
918,30.41
919,36.79
920,6.63
921,20.63
922,36.66
923,35.78
924,29.14
925,18.46
926,4.05
927,3.86
928,3.39
929,12.43
930,5.72
931,16.78
932,14.57
933,16.72
934,13.58
935,5.45
936,7.67
937,5
938,13.97
939,10.62
940,3.61
941,22.11
942,32.44
943,35.5
944,17.89
945,17.49
946,7.7
947,36.98
948,12.51
949,11.03
950,1.91
951,10.46
952,8.41
953,12.86
954,32.28
955,23.52
956,34.63
957,11.8
958,20.78
959,14.79
960,5.05
961,21.36
962,19.92
963,21.76
964,14.11
965,23.62
966,0.87
967,21.21
968,1.14
969,10.47
970,20.47
971,9.28
972,24.99
973,15.32
974,6.67
975,5.66
976,8.25
977,18
978,24.38
979,4.75
980,8.41
981,2.01
982,13.45
983,2.08
984,24.05
985,16.21
986,23.52
987,15.86
988,6.8
989,20.48
990,10.31
991,9.24
992,15.01
993,2.25
994,9.26
995,1.66
996,6.94
997,16.37
998,20.36
999,2.85
1000,5.49
1001,3.6
1002,19.13
1003,3
1004,17.01
1005,8.12
1006,2.28
1007,9.03
1008,14.34
1009,22.24
1010,20.19
1011,10.77
1012,9.34
1013,6.2
1014,7.67
1015,5.9
1016,1.49
1017,19.71
1018,9.83
1019,2.92
1020,20.16
1021,14.26
1022,0.94
1023,12.3
1024,9.56
1025,15.43
1026,4.88
1027,21.68
1028,22.42
1029,2.65
1030,21.87
1031,23.28
1032,4.57
1033,0.12
1034,8.02
1035,2.64
1036,16.1
1037,19.19
1038,21.47
1039,19.73
1040,5.45
1041,2.23
1042,23.94
1043,9.02
1044,1.36
1045,9.6
1046,4.32
1047,0.02
1048,18
1049,23.43
